ID,Paper,Conference,Year,Type1,Type2,Type3,Type4,C1_ReduceTime,C2_Paths,C3_NewAudience,C4_CurrentPracticeAndInfrastructure,C5_ReplicationCreativity,T1_Examples,T1_Replication,T1_CaseStudy,T1_DesignSpace,T1_HowTo,T2_Usability,T2_AB,T2_Walkthrough,T2_Observation,T2_Homework,T2_Likert,T2_Interview,T3_ThresholdBench,T3_Comparison,T4_Checklist,T4_Discussion,T4_Study
43,PuReWidgets,EICS,2012,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,.NET Gadgeteer,Pervasive,2012,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
45,HapticTouch Toolkit,TEI,2012,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
46,Midas,UIST,2012,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
47,PaperBox,C&C,2013,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0
48,WorldKit,CHI,2013,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,KinectArms,CSCW,2013,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
50,OpenCapSense,PerCom,2013,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
51,ToyVision Toolkit,TEI,2013,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,Sauron,UIST,2013,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,PanelRama,CHI,2014,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
54,XDStudio,CHI,2014,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0
55,XD Kinect,EICS,2014,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
56,PolyChrome,ITS/ISS,2014,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,PaperPulse,CHI,2015,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
58,WatchConnect,CHI,2015,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
59,Weave,CHI,2015,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0
60,SoD Toolkit,ITS/ISS,2015,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,C4,TEI,2015,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0
62,Makers' Marks,UIST,2015,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,Physikit,CHI,2016,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
64,Retrofab,CHI,2016,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
65,Let Your Body Move Toolkit,MobileHCI,2016,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
66,CircuitStack,UIST,2016,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
67,EagleSense,CHI,2017,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
68,Pineal,CHI,2017,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
